site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CHIT 03FEB25 2003.1513 52695 1207 2   91.8  -1080 -0.240163   2485326  0.166181   -26 -0.069860  0.0000 0.001282 0.001187 0.005919  0.034267  0.123751 -0.165193  22.4653128551 -268.2104957284   -26.06986
CHIT 03FEB26 2003.1540 52696 1207 3   91.8  -1080 -0.239745   2485326  0.166026   -26 -0.058332  0.0000 0.000970 0.000889 0.004174  0.074221  0.009012 -0.149680  22.4653128537 -268.2104957243   -26.05833
CHIT 03FEB27 2003.1567 52697 1207 4   91.8  -1080 -0.239575   2485326  0.165865   -26 -0.075674  0.0000 0.000967 0.000902 0.004071  0.036320 -0.000289 -0.127566  22.4653128522 -268.2104957227   -26.07567
CHIT 03FEB28 2003.1595 52698 1207 5   91.8  -1080 -0.240855   2485326  0.164385   -26 -0.058983  0.0000 0.000947 0.000856 0.003986  0.057679  0.017975 -0.128317  22.4653128389 -268.2104957351   -26.05898
CHIT 03MAR01 2003.1622 52699 1207 6   91.8  -1080 -0.237433   2485326  0.167685   -26 -0.066215  0.0000 0.000943 0.000855 0.004057  0.048172 -0.032835 -0.168113  22.4653128687 -268.2104957019   -26.06622
CHIT 03MAR02 2003.1650 52700 1208 0   91.8  -1080 -0.236777   2485326  0.164099   -26 -0.062623  0.0000 0.000967 0.000889 0.004204  0.053681 -0.053546 -0.117235  22.4653128363 -268.2104956955   -26.06262
CHIT 03MAR03 2003.1677 52701 1208 1   91.8  -1080 -0.237849   2485326  0.169214   -26 -0.069258  0.0000 0.000923 0.000848 0.003853  0.050448  0.034244 -0.116672  22.4653128825 -268.2104957059   -26.06926
CHIT 03MAR04 2003.1704 52702 1208 2   91.8  -1080 -0.238680   2485326  0.165977   -26 -0.069979  0.0000 0.000919 0.000877 0.003911  0.072165 -0.000652 -0.111074  22.4653128533 -268.2104957140   -26.06998
CHIT 03MAR05 2003.1732 52703 1208 3   91.8  -1080 -0.239662   2485326  0.167065   -26 -0.061911  0.0000 0.000923 0.000852 0.003875  0.089554 -0.021131 -0.136739  22.4653128631 -268.2104957235   -26.06191
CHIT 03MAR06 2003.1759 52704 1208 4   91.8  -1080 -0.240102   2485326  0.166759   -26 -0.064510  0.0000 0.000915 0.000827 0.003849  0.038153 -0.033351 -0.161689  22.4653128603 -268.2104957278   -26.06451
CHIT 03MAR07 2003.1786 52705 1208 5   91.8  -1080 -0.239855   2485326  0.166618   -26 -0.067365  0.0000 0.000934 0.000883 0.004006  0.042427 -0.000708 -0.186653  22.4653128590 -268.2104957254   -26.06737
CHIT 03MAR08 2003.1814 52706 1208 6   91.8  -1080 -0.238920   2485326  0.165285   -26 -0.069127  0.0000 0.000951 0.000880 0.003963  0.052098 -0.008083 -0.187437  22.4653128470 -268.2104957163   -26.06913
CHIT 03MAR09 2003.1841 52707 1209 0   91.8  -1080 -0.236472   2485326  0.168166   -26 -0.059517  0.0000 0.000983 0.000861 0.003978  0.084534 -0.095496 -0.118856  22.4653128730 -268.2104956925   -26.05952
CHIT 03MAR10 2003.1869 52708 1209 1   91.8  -1080 -0.237976   2485326  0.164478   -26 -0.069486  0.0000 0.001017 0.000900 0.004207  0.045999 -0.111839 -0.112439  22.4653128397 -268.2104957071   -26.06949
CHIT 03MAR11 2003.1896 52709 1209 2   91.8  -1080 -0.238796   2485326  0.169218   -26 -0.070220  0.0000 0.000907 0.000847 0.003752  0.057973 -0.008683 -0.116261  22.4653128825 -268.2104957151   -26.07022
CHIT 03MAR12 2003.1923 52710 1209 3   91.8  -1080 -0.237991   2485326  0.166715   -26 -0.065702  0.0000 0.001038 0.000918 0.004352  0.060474 -0.099706 -0.125977  22.4653128599 -268.2104957073   -26.06570
CHIT 03MAR13 2003.1951 52711 1209 4   91.8  -1080 -0.236792   2485326  0.165758   -26 -0.067323  0.0000 0.001001 0.000888 0.004177  0.122606 -0.010075 -0.154481  22.4653128513 -268.2104956956   -26.06732
CHIT 03MAR14 2003.1978 52712 1209 5   91.8  -1080 -0.237375   2485326  0.167670   -26 -0.072468  0.0000 0.001010 0.000893 0.004393  0.086979 -0.079991 -0.201135  22.4653128685 -268.2104957013   -26.07247
