site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
HAKA 13JAN01 2013.0021 56293 1721 2   93.6    459  0.178159   2504056  0.740890  1832  0.701271  0.0000 0.001161 0.001078 0.004578  0.076565 -0.128826  0.007526  22.6344563658 -266.3955331352  1832.70127
HAKA 13JAN02 2013.0048 56294 1721 3   93.6    459  0.176936   2504056  0.743007  1832  0.701865  0.0000 0.001164 0.001067 0.004543  0.038217 -0.087472  0.061586  22.6344563849 -266.3955331471  1832.70187
HAKA 13JAN03 2013.0075 56295 1721 4   93.6    459  0.177329   2504056  0.740375  1832  0.705566  0.0000 0.001182 0.001098 0.004703  0.078176 -0.154493 -0.015817  22.6344563612 -266.3955331433  1832.70557
HAKA 13JAN04 2013.0103 56296 1721 5   93.6    459  0.175589   2504056  0.744516  1832  0.692102  0.0000 0.001176 0.001086 0.004615  0.059518 -0.113705  0.018562  22.6344563986 -266.3955331602  1832.69210
HAKA 13JAN05 2013.0130 56297 1721 6   93.6    459  0.178995   2504056  0.744889  1832  0.694525  0.0000 0.001148 0.001058 0.004513  0.043479 -0.120342  0.049210  22.6344564019 -266.3955331271  1832.69452
HAKA 13JAN06 2013.0157 56298 1722 0   93.6    459  0.178873   2504056  0.742731  1832  0.698414  0.0000 0.001169 0.001081 0.004617  0.087050 -0.159701 -0.012723  22.6344563825 -266.3955331282  1832.69841
HAKA 13JAN07 2013.0185 56299 1722 1   93.6    459  0.178893   2504056  0.744405  1832  0.697262  0.0000 0.001173 0.001086 0.004691  0.061623 -0.147043  0.058782  22.6344563976 -266.3955331280  1832.69726
HAKA 13JAN08 2013.0212 56300 1722 2   93.6    459  0.176535   2504056  0.742961  1832  0.701590  0.0000 0.001147 0.001063 0.004529  0.049433 -0.122655  0.042181  22.6344563845 -266.3955331510  1832.70159
HAKA 13JAN09 2013.0240 56301 1722 3   93.6    459  0.176643   2504056  0.743777  1832  0.699543  0.0000 0.001155 0.001069 0.004515  0.072605 -0.137179 -0.005807  22.6344563919 -266.3955331499  1832.69954
HAKA 13JAN10 2013.0267 56302 1722 4   93.6    459  0.174615   2504056  0.744189  1832  0.703094  0.0000 0.001145 0.001064 0.004489  0.058076 -0.141914 -0.001422  22.6344563956 -266.3955331697  1832.70309
HAKA 13JAN11 2013.0294 56303 1722 5   93.6    459  0.177277   2504056  0.744203  1832  0.695948  0.0000 0.001142 0.001058 0.004486  0.055683 -0.139547  0.033512  22.6344563957 -266.3955331438  1832.69595
HAKA 13JAN12 2013.0322 56304 1722 6   93.6    459  0.177577   2504056  0.740970  1832  0.697043  0.0000 0.001153 0.001075 0.004554  0.079267 -0.163784 -0.019362  22.6344563666 -266.3955331408  1832.69704
HAKA 13JAN13 2013.0349 56305 1723 0   93.6    459  0.178113   2504056  0.742702  1832  0.695837  0.0000 0.001148 0.001070 0.004549  0.052197 -0.138013  0.015613  22.6344563822 -266.3955331356  1832.69584
HAKA 13JAN14 2013.0376 56306 1723 1   93.6    459  0.178327   2504056  0.744505  1832  0.699557  0.0000 0.001148 0.001057 0.004517  0.052360 -0.141159  0.013560  22.6344563985 -266.3955331336  1832.69956
HAKA 13JAN15 2013.0404 56307 1723 2   93.6    459  0.176266   2504056  0.743914  1832  0.700461  0.0000 0.001162 0.001079 0.004592  0.086702 -0.166490 -0.043467  22.6344563931 -266.3955331536  1832.70046
HAKA 13JAN16 2013.0431 56308 1723 3   93.6    459  0.177401   2504056  0.744198  1832  0.698562  0.0000 0.001211 0.001090 0.004752  0.085818 -0.123869 -0.035391  22.6344563957 -266.3955331426  1832.69856
HAKA 13JAN17 2013.0459 56309 1723 4   93.6    459  0.179458   2504056  0.741524  1832  0.700573  0.0000 0.001208 0.001101 0.004755  0.087992 -0.118132 -0.022856  22.6344563716 -266.3955331226  1832.70057
HAKA 13JAN18 2013.0486 56310 1723 5   93.6    459  0.179801   2504056  0.743436  1832  0.696258  0.0000 0.001194 0.001125 0.004860  0.141628 -0.176688 -0.021584  22.6344563888 -266.3955331192  1832.69626
HAKA 13JAN19 2013.0513 56311 1723 6   93.6    459  0.179050   2504056  0.743471  1832  0.696118  0.0000 0.001158 0.001073 0.004565  0.049338 -0.140857  0.013960  22.6344563891 -266.3955331265  1832.69612
HAKA 13JAN20 2013.0541 56312 1724 0   93.6    459  0.180333   2504056  0.743576  1832  0.697856  0.0000 0.001167 0.001075 0.004609  0.079364 -0.168235 -0.028790  22.6344563901 -266.3955331140  1832.69786
HAKA 13JAN21 2013.0568 56313 1724 1   93.6    459  0.178739   2504056  0.741675  1832  0.694230  0.0000 0.001178 0.001087 0.004693  0.093122 -0.162499 -0.022864  22.6344563729 -266.3955331296  1832.69423
HAKA 13JAN22 2013.0595 56314 1724 2   93.6    459  0.180967   2504056  0.743380  1832  0.700093  0.0000 0.001187 0.001104 0.004750  0.079314 -0.163409  0.005497  22.6344563883 -266.3955331079  1832.70009
HAKA 13JAN23 2013.0623 56315 1724 3   93.6    459  0.179896   2504056  0.742759  1832  0.706073  0.0000 0.001167 0.001082 0.004633  0.073186 -0.166962  0.009338  22.6344563827 -266.3955331183  1832.70607
HAKA 13JAN24 2013.0650 56316 1724 4   93.6    459  0.179665   2504056  0.743328  1832  0.698943  0.0000 0.001180 0.001096 0.004706  0.081040 -0.187236  0.020818  22.6344563878 -266.3955331205  1832.69894
HAKA 13JAN25 2013.0678 56317 1724 5   93.6    459  0.179524   2504056  0.742563  1832  0.699503  0.0000 0.001161 0.001054 0.004499  0.053708 -0.131371  0.032358  22.6344563809 -266.3955331219  1832.69950
HAKA 13JAN26 2013.0705 56318 1724 6   93.6    459  0.180506   2504056  0.742540  1832  0.692174  0.0000 0.001172 0.001068 0.004573  0.037012 -0.149251  0.022492  22.6344563807 -266.3955331124  1832.69217
HAKA 13JAN27 2013.0732 56319 1725 0   93.6    459  0.178027   2504056  0.745311  1832  0.700220  0.0000 0.001166 0.001069 0.004610  0.058687 -0.168053  0.000412  22.6344564057 -266.3955331365  1832.70022
HAKA 13JAN28 2013.0760 56320 1725 1   93.6    459  0.179347   2504056  0.743077  1832  0.688676  0.0000 0.001145 0.001063 0.004496  0.034316 -0.137270  0.052786  22.6344563856 -266.3955331236  1832.68868
HAKA 13JAN29 2013.0787 56321 1725 2   93.6    459  0.179384   2504056  0.746850  1832  0.693685  0.0000 0.001168 0.001074 0.004662  0.048931 -0.170254  0.061249  22.6344564196 -266.3955331233  1832.69368
